729C011	T	Start Streaming
9A5B033	S	C01,P02,FGN,ET 9.50 sec,T 0.50 sec,P 3.006017 bar
E25C033	S	C01,P02,FGN,ET 9.55 sec,T 0.45 sec,P 3.006267 bar
885D033	S	C01,P02,FGN,ET 9.60 sec,T 0.40 sec,P 3.006507 bar
C25E033	S	C01,P02,FGN,ET 9.65 sec,T 0.35 sec,P 3.006669 bar
5F5F033	S	C01,P02,FGN,ET 9.70 sec,T 0.30 sec,P 3.006900 bar
5960033	S	C01,P02,FGN,ET 9.75 sec,T 0.25 sec,P 3.007163 bar
F261033	S	C01,P02,FGN,ET 9.80 sec,T 0.20 sec,P 3.007379 bar
E162033	S	C01,P02,FGN,ET 9.85 sec,T 0.15 sec,P 3.007533 bar
E663033	S	C01,P02,FGN,ET 9.90 sec,T 0.10 sec,P 3.007766 bar
8564033	S	C01,P02,FGN,ET 9.95 sec,T 0.05 sec,P 3.007932 bar
8265035	S	C01,P02,SDP,ET 10.00 sec,T 20.00 sec,P 3.008145 bar
D766035	S	C01,P02,SDP,ET 10.05 sec,T 19.95 sec,P 3.008270 bar
3A67035	S	C01,P02,SDP,ET 10.10 sec,T 19.90 sec,P 3.008321 bar
5E68035	S	C01,P02,SDP,ET 10.15 sec,T 19.85 sec,P 3.008303 bar
4F69035	S	C01,P02,SDP,ET 10.20 sec,T 19.80 sec,P 3.008269 bar
C16A035	S	C01,P02,SDP,ET 10.25 sec,T 19.75 sec,P 3.008239 bar
7A6B035	S	C01,P02,SDP,ET 10.30 sec,T 19.70 sec,P 3.008223 bar
8B6C035	S	C01,P02,SDP,ET 10.35 sec,T 19.65 sec,P 3.008217 bar
866D035	S	C01,P02,SDP,ET 10.40 sec,T 19.60 sec,P 3.008210 bar
6E6E035	S	C01,P02,SDP,ET 10.45 sec,T 19.55 sec,P 3.008196 bar
E56F035	S	C01,P02,SDP,ET 10.50 sec,T 19.50 sec,P 3.008183 bar
F470035	S	C01,P02,SDP,ET 10.55 sec,T 19.45 sec,P 3.008174 bar
D571035	S	C01,P02,SDP,ET 10.60 sec,T 19.40 sec,P 3.008161 bar
9F72035	S	C01,P02,SDP,ET 10.65 sec,T 19.35 sec,P 3.008149 bar
3973035	S	C01,P02,SDP,ET 10.70 sec,T 19.30 sec,P 3.008140 bar
F474035	S	C01,P02,SDP,ET 10.75 sec,T 19.25 sec,P 3.008133 bar
2775035	S	C01,P02,SDP,ET 10.80 sec,T 19.20 sec,P 3.008127 bar
1676035	S	C01,P02,SDP,ET 10.85 sec,T 19.15 sec,P 3.008120 bar
7477035	S	C01,P02,SDP,ET 10.90 sec,T 19.10 sec,P 3.008112 bar
2078035	S	C01,P02,SDP,ET 10.95 sec,T 19.05 sec,P 3.008106 bar
0F79035	S	C01,P02,SDP,ET 11.00 sec,T 19.00 sec,P 3.008096 bar
687A035	S	C01,P02,SDP,ET 11.05 sec,T 18.95 sec,P 3.008087 bar
6C7B035	S	C01,P02,SDP,ET 11.10 sec,T 18.90 sec,P 3.008081 bar
147C035	S	C01,P02,SDP,ET 11.15 sec,T 18.85 sec,P 3.008074 bar
0B7D035	S	C01,P02,SDP,ET 11.20 sec,T 18.80 sec,P 3.008072 bar
0C7E035	S	C01,P02,SDP,ET 11.25 sec,T 18.75 sec,P 3.008066 bar
CC7F035	S	C01,P02,SDP,ET 11.30 sec,T 18.70 sec,P 3.008062 bar
0980035	S	C01,P02,SDP,ET 11.35 sec,T 18.65 sec,P 3.008058 bar
CE81035	S	C01,P02,SDP,ET 11.40 sec,T 18.60 sec,P 3.008056 bar
3B82035	S	C01,P02,SDP,ET 11.45 sec,T 18.55 sec,P 3.008053 bar
4083035	S	C01,P02,SDP,ET 11.50 sec,T 18.50 sec,P 3.008047 bar
DD84035	S	C01,P02,SDP,ET 11.55 sec,T 18.45 sec,P 3.008040 bar
2385035	S	C01,P02,SDP,ET 11.60 sec,T 18.40 sec,P 3.008032 bar
